pseudo_id,window_start,window_end,meeting_density,after_hours_ratio,response_latency_avg,focus_time_blocks,msg_volume_daily,msg_response_time,mention_load,commit_frequency,pr_review_load,context_switch_rate,after_hours_commits,hrv_avg,sleep_score,burnout_label
2d0d12bb-61b3-48e1-8122-c1ee989c2488,2026-04-01T00:00:00Z,2026-04-15T00:00:00Z,0.206,0.377,0.74,0.84,0.348,0.379,0.517,0.592,0.345,0.692,0.196,0.502,0.5,0
edb01a02-23b8-46a2-a0b4-52b6ca2f36a0,2026-04-01T00:00:00Z,2026-04-15T00:00:00Z,0.476,0.675,0.053,0.454,0.421,0.436,0.402,0.602,0.181,0.481,0.616,0.5,0.394,1
87ab5142-0dfd-4380-a576-a517ee96a85c,2026-04-01T00:00:00Z,2026-04-15T00:00:00Z,0.165,0.205,0.653,0.68,0.245,0.773,0.446,0.204,0.114,0.322,0.166,0.5,0.5,0
f16bb118-c6c0-4be8-9f6d-1cc208f96cd8,2026-04-01T00:00:00Z,2026-04-15T00:00:00Z,0.46,0.124,0.425,0.451,0.512,0.742,0.303,0.534,0.162,0.658,0.259,0.5,0.5,0
bbab1936-7029-46b2-bfe6-3769131d54d4,2026-04-01T00:00:00Z,2026-04-15T00:00:00Z,0.172,0.374,0.691,0.606,0.468,0.668,0.224,0.211,0.381,0.33,0.012,0.5,0.845,0
e3bcb470-dce8-4ea4-9f1b-ed9009bc4202,2026-04-01T00:00:00Z,2026-04-15T00:00:00Z,0.24,0.719,0.135,0.511,0.464,0.499,0.239,0.149,0.409,0.311,0.674,0.133,0.5,1
67e6f944-b22c-40a0-9711-cce0423720d1,2026-04-01T00:00:00Z,2026-04-15T00:00:00Z,0.274,0.305,0.457,0.703,0.405,0.493,0.388,0.278,0.384,0.101,0.278,0.5,0.5,0
b2fde3be-2817-4052-a2f6-6407c24db0dd,2026-04-01T00:00:00Z,2026-04-15T00:00:00Z,0.48,0.372,0.612,0.732,0.25,0.75,0.354,0.567,0.23,0.518,0.166,0.558,0.5,0
f9aafeb2-0c24-4f56-ab66-962e425297c1,2026-04-01T00:00:00Z,2026-04-15T00:00:00Z,0.346,0.155,0.574,0.4,0.315,0.515,0.39,0.558,0.286,0.365,0.064,0.5,0.798,0
ab7263fd-e6da-45a2-8471-49f30496800c,2026-04-01T00:00:00Z,2026-04-15T00:00:00Z,0.306,0.272,0.468,0.809,0.5,0.636,0.212,0.239,0.905,0.247,0.773,0.5,0.5,1
